,i,p,t,i_p,i_t,p_t,i_p_t
i,1.0,0.15810276679841898,0.0,0.9683794466403162,0.984,0.1556420233463035,0.953307392996109
p,0.15810276679841898,1.0,0.0,0.1865079365079365,0.1556420233463035,0.9215686274509803,0.18359375
t,0.0,0.0,1.0,0.0,0.016,0.0784313725490196,0.015625
i_p,0.9683794466403162,0.1865079365079365,0.0,1.0,0.953307392996109,0.18359375,0.984375
i_t,0.984,0.1556420233463035,0.016,0.953307392996109,1.0,0.17120622568093385,0.9688715953307393
p_t,0.1556420233463035,0.9215686274509803,0.0784313725490196,0.18359375,0.17120622568093385,1.0,0.19921875
i_p_t,0.953307392996109,0.18359375,0.015625,0.984375,0.9688715953307393,0.19921875,1.0
