,a,b,o,a_b,a_o,b_o,a_b_o
a,1.0,0.6964656964656964,0.6226415094339622,0.872651356993737,0.9081196581196581,0.6966731898238747,0.8208661417322834
b,0.6964656964656964,1.0,0.6547085201793722,0.8202959830866807,0.6803921568627451,0.8800904977375565,0.7709163346613546
o,0.6226415094339622,0.6547085201793722,1.0,0.6217821782178218,0.7121848739495799,0.7730337078651686,0.6805555555555556
a_b,0.872651356993737,0.8202959830866807,0.6217821782178218,1.0,0.8464566929133859,0.8131212723658051,0.94
a_o,0.9081196581196581,0.6803921568627451,0.7121848739495799,0.8464566929133859,1.0,0.7803921568627451,0.9053254437869822
b_o,0.6966731898238747,0.8800904977375565,0.7730337078651686,0.8131212723658051,0.7803921568627451,1.0,0.8725099601593626
a_b_o,0.8208661417322834,0.7709163346613546,0.6805555555555556,0.94,0.9053254437869822,0.8725099601593626,1.0
