,p,t,e,p_t,p_e,t_e,p_t_e
p,1.0,0.24033149171270718,0.22697368421052633,0.7950138504155124,0.9504950495049505,0.2907608695652174,0.7868852459016393
t,0.24033149171270718,1.0,0.3118279569892473,0.44166666666666665,0.26229508196721313,0.8502673796791443,0.4305177111716621
e,0.22697368421052633,0.3118279569892473,1.0,0.2103825136612022,0.2739273927392739,0.45161290322580644,0.226775956284153
p_t,0.7950138504155124,0.44166666666666665,0.2103825136612022,1.0,0.810958904109589,0.48097826086956524,0.9781420765027322
p_e,0.9504950495049505,0.26229508196721313,0.2739273927392739,0.810958904109589,1.0,0.329700272479564,0.8273972602739726
t_e,0.2907608695652174,0.8502673796791443,0.45161290322580644,0.48097826086956524,0.329700272479564,1.0,0.5013623978201635
p_t_e,0.7868852459016393,0.4305177111716621,0.226775956284153,0.9781420765027322,0.8273972602739726,0.5013623978201635,1.0
