,f,o,r,f_o,f_r,o_r,f_o_r
f,1.0,0.0,0.023809523809523808,1.0,0.3392857142857143,0.023809523809523808,0.3392857142857143
o,0.0,1.0,0.0,0.0,0.0,0.0,0.0
r,0.023809523809523808,0.0,1.0,0.023809523809523808,0.6826347305389222,1.0,0.6826347305389222
f_o,1.0,0.0,0.023809523809523808,1.0,0.3392857142857143,0.023809523809523808,0.3392857142857143
f_r,0.3392857142857143,0.0,0.6826347305389222,0.3392857142857143,1.0,0.6826347305389222,1.0
o_r,0.023809523809523808,0.0,1.0,0.023809523809523808,0.6826347305389222,1.0,0.6826347305389222
f_o_r,0.3392857142857143,0.0,0.6826347305389222,0.3392857142857143,1.0,0.6826347305389222,1.0
