,p,b,b,p_b,p_b,b_b,p_b_b
p,1.0,0.28431372549019607,0.37894736842105264,0.5,0.5368421052631579,0.31343283582089554,0.3805970149253731
b,0.28431372549019607,1.0,0.28,0.7843137254901961,0.30597014925373134,0.64,0.5970149253731343
b,0.37894736842105264,0.28,1.0,0.3582089552238806,0.8421052631578947,0.64,0.5970149253731343
p_b,0.5,0.7843137254901961,0.3582089552238806,1.0,0.4701492537313433,0.6940298507462687,0.7611940298507462
p_b,0.5368421052631579,0.30597014925373134,0.8421052631578947,0.4701492537313433,1.0,0.6417910447761194,0.7089552238805971
b_b,0.31343283582089554,0.64,0.64,0.6940298507462687,0.6417910447761194,1.0,0.9328358208955224
p_b_b,0.3805970149253731,0.5970149253731343,0.5970149253731343,0.7611940298507462,0.7089552238805971,0.9328358208955224,1.0
