,chemical,compound,substance,medication,drug
chemical,1.0,0.6490825688073395,0.3115727002967359,0.2953667953667954,0.34541984732824427
compound,0.6490825688073395,1.0,0.23284823284823286,0.36772046589018303,0.41721854304635764
substance,0.3115727002967359,0.23284823284823286,1.0,0.12836438923395446,0.16733870967741934
medication,0.2953667953667954,0.36772046589018303,0.12836438923395446,1.0,0.8747099767981439
drug,0.34541984732824427,0.41721854304635764,0.16733870967741934,0.8747099767981439,1.0
