,disease,disorder,syndrome,pathology
disease,1.0,0.8088737201365188,0.7623873873873874,0.17852975495915985
disorder,0.8088737201365188,1.0,0.8315911730545877,0.15090090090090091
syndrome,0.7623873873873874,0.8315911730545877,1.0,0.19258373205741627
pathology,0.17852975495915985,0.15090090090090091,0.19258373205741627,1.0
